772.70242804164,-11,1
772.720912959885,-6,1
772.73939757912012,-9,1
772.75788189930438,-1,1
772.77636592039664,-6,1
772.7948496423561,-12,1
772.81333306514159,-3,1
772.831816188712,-1,1
772.85029901302619,-6,1
772.86878153804332,9,1
772.88726376372188,-4,1
772.90574569002126,-15,1
772.92422731690033,-11,1
772.94270864431792,-7,1
772.9611896722331,-12,1
772.97967040060462,-7,1
772.99815082939153,-6,1
773.01663095855292,-15,1
773.03511078804752,-5,1
773.05359031783451,-4,1
773.0720695478725,-13,1
773.09054847812092,-12,1
773.10902710853816,-2,1
773.12750543908385,-5,1
773.1459834697165,8,1
773.16446120039518,2,1
773.18293863107885,-19,1
773.20141576172637,4,1
773.2198925922969,-8,1
773.23836912274942,-3,1
773.25684535304276,-1,1
773.27532128313578,-10,1
773.29379691298789,-16,1
773.31227224255781,-11,1
773.33074727180428,-2,1
773.34922200068684,-7,1
773.367696429164,-3,1
773.38617055719487,3,1
773.40464438473873,-5,1
773.423117911754,-13,1
773.4415911382,-4,1
773.46006406403581,-9,1
773.47853668922039,-8,1
773.49700901371261,3,1
773.51548103747155,-6,1
773.53395276045626,-9,1
773.55242418262549,-10,1
773.57089530393853,-13,1
773.58936612435411,8,1
773.60783664383155,-2,1
773.62630686232967,-15,1
773.64477677980778,-8,1
773.66324639622417,-9,1
773.68171571153869,-18,1
773.70018472570985,10,1
773.71865343869683,-4,1
773.73712185045849,-14,1
773.755589960954,-14,1
773.77405777014246,-9,1
773.7925252779828,-9,1
773.81099248443411,-14,1
773.82945938945522,-4,1
773.84792599300522,-9,1
773.86639229504328,-4,1
773.88485829552849,-17,1
773.90332399441957,-1,1
773.92178939167582,-14,1
773.94025448725608,-6,1
773.95871928111967,-7,1
773.97718377322531,0,1
773.99564796353241,1,1
774.01411185199959,-1,1
774.03257543858626,0,1
774.05103872325139,-13,1
774.06950170595383,-22,1
774.08796438665274,-7,1
774.10642676530733,10,1
774.12488884187655,-8,1
774.14335061631925,-5,1
774.16181208859484,-23,1
774.180273258662,-21,1
774.19873412648019,11,1
774.21719469200832,1,1
774.23565495520506,-19,1
774.25411491603018,0,1
774.27257457444239,-10,1
774.29103393040066,-4,1
774.30949298386417,-11,1
774.32795173479212,5,1
774.34641018314346,-18,1
774.36486832887715,-10,1
774.3833261719526,-9,1
774.40178371232855,-4,1
774.42024094996418,-10,1
774.43869788481879,-13,1
774.45715451685112,-10,1
774.47561084602046,-6,1
774.49406687228611,-18,1
774.51252259560658,-9,1
774.53097801594151,-6,1
774.54943313324975,-14,1
774.56788794749048,-11,1
774.58634245862288,-7,1
774.60479666660569,-19,1
774.62325057139833,-11,1
774.64170417296,-3,1
774.66015747124936,-16,1
774.6786104662259,-17,1
774.69706315784879,-11,1
774.71551554607663,-13,1
774.73396763086919,-11,1
774.75241941218508,3,1
774.77087088998383,-13,1
774.78932206422417,-7,1
774.8077729348654,-3,1
774.82622350186659,-15,1
774.84467376518694,-10,1
774.86312372478551,-1,1
774.8815733806216,-4,1
774.90002273265418,-3,1
774.9184717808422,-18,1
774.93692052514518,-7,1
774.95536896552187,-8,1
774.97381710193179,-7,1
774.99226493433389,-9,1
775.010712462687,-8,1
775.029159686951,-9,1
775.04760660708428,-9,1
775.06605322304642,4,1
775.08449953479646,-11,1
775.10294554229347,-3,1
775.12139124549674,-15,1
775.13983664436535,-2,1
775.15828173885848,-15,1
775.176726528935,-6,1
775.1951710145546,9,1
775.21361519567608,-6,1
775.23205907225872,-10,1
775.2505026442617,-16,1
775.2689459116441,-17,1
775.287388874365,-16,1
775.30583153238376,-6,1
775.32427388565952,-20,1
775.34271593415144,-7,1
775.3611576778186,-16,1
775.37959911662017,-13,1
775.39804025051546,-8,1
775.41648107946355,-11,1
775.43492160342385,-11,1
775.45336182235508,1,1
775.47180173621666,-23,1
775.49024134496813,-3,1
775.50868064856809,-14,1
775.527119646976,-4,1
775.545558340151,-8,1
775.56399672805242,-12,1
775.58243481063937,-1,1
775.60087258787109,-14,1
775.61931005970666,-7,1
775.63774722610526,-8,1
775.65618408702619,-3,1
775.67462064242864,-6,1
775.6930568922719,-4,1
775.711492836515,-11,1
775.72992847511716,-7,1
775.74836380803777,-15,1
775.76679883523593,-15,1
775.78523355667107,-16,1
775.80366797230181,3,1
775.82210208208789,2,1
775.84053588598863,-18,1
775.85896938396274,-2,1
775.87740257596977,-14,1
775.895835461969,-12,1
775.91426804191963,-19,1
775.93270031578049,-7,1
775.95113228351147,-2,1
775.96956394507129,-11,1
775.98799530041936,4,1
776.006426349515,-5,1
776.02485709231712,-2,1
776.04328752878541,-6,1
776.06171765887882,0,1
776.08014748255664,-27,1
776.09857699977829,-2,1
776.11700621050272,-5,1
776.13543511468936,-6,1
776.15386371229761,-25,1
776.17229200328643,-9,1
776.190719987615,-6,1
776.209147665243,-4,1
776.22757503612922,-6,1
776.24600210023323,-2,1
776.26442885751442,0,1
776.28285530793153,-3,1
776.30128145144442,-13,1
776.31970728801184,-3,1
776.33813281759342,-10,1
776.35655804014812,-15,1
776.37498295563546,-14,1
776.39340756401486,12,1
776.41183186524506,-1,1
776.43025585928581,-4,1
776.44867954609629,-11,1
776.46710292563557,0,1
776.48552599786319,6,1
776.50394876273833,-14,1
776.52237122022018,-8,1
776.54079337026826,-11,1
776.55921521284165,-7,1
776.57763674789965,-26,1
776.59605797540155,-7,1
776.61447889530689,-7,1
776.63289950757462,-7,1
776.65131981216439,3,1
776.66973980903515,-10,1
776.68815949814643,-21,1
776.70657887945754,-19,1
776.72499795292765,-6,1
776.74341671851619,-9,1
776.76183517618222,0,1
776.78025332588538,-3,1
776.79867116758487,-3,1
776.81708870123987,-8,1
776.8355059268099,-3,1
776.85392284425416,-12,1
776.872339453532,-12,1
776.89075575460276,-6,1
776.9091717474256,-1,1
776.92758743196021,-4,1
776.94600280816564,-2,1
776.964417876001,-8,1
776.98283263542635,-11,1
777.00124708640021,-1,1
777.01966122888234,-10,1
777.03807506283215,-6,1
777.05648858820871,-11,1
777.07490180497143,-26,1
777.09331471307985,-7,1
777.11172731249314,-12,1
777.13013960317073,-14,1
777.1485515850718,-8,1
777.16696325815576,-8,1
777.18537462238214,0,1
777.20378567771013,-6,1
777.222196424099,-1,1
777.24060686150847,1,1
777.25901698989765,4,1
777.27742680922574,5,1
777.29583631945229,31,1
777.31424552053659,9,1
777.33265441243816,4,1
777.35106299511619,3,1
777.36947126853011,-5,1
777.38787923263942,-4,1
777.40628688740344,-18,1
777.42469423278135,-10,1
777.44310126873256,-7,1
777.46150799521672,-5,1
777.4799144121929,-2,1
777.49832051962073,-17,1
777.51672631745953,1,1
777.53513180566858,1,1
777.5535369842072,-7,1
777.5719418530349,-3,1
777.59034641211133,6,1
777.60875066139545,-10,1
777.62715460084678,-10,1
777.64555823042485,0,1
777.663961550089,-21,1
777.68236455979854,-13,1
777.7007672595131,4,1
777.71916964919183,-15,1
777.737571728794,-1,1
777.75597349827956,1,1
777.77437495760739,-13,1
777.79277610673739,-13,1
777.81117694562852,-3,1
777.82957747424041,-5,1
777.84797769253237,-10,1
777.86637760046392,-7,1
777.88477719799448,-15,1
777.90317648508346,-12,1
777.92157546169017,-2,1
777.93997412777435,8,1
777.95837248329485,-16,1
777.97677052821166,-13,1
777.99516826248419,-21,1
778.0135656860715,-9,1
778.03196279893314,0,1
778.050359601029,-10,1
778.06875609231781,-5,1
778.08715227275934,-10,1
778.10554814231307,-8,1
778.12394370093853,-12,1
778.142338948595,-3,1
778.16073388524183,0,1
778.17912851083884,-2,1
778.19752282534523,-17,1
778.21591682872031,5,1
778.23431052092383,-11,1
778.2527039019152,-9,1
778.27109697165372,-17,1
778.28948973009892,-23,1
778.3078821772101,-1,1
778.32627431294713,-7,1
778.3446661372692,-12,1
778.36305765013583,-14,1
778.38144885150655,-4,1
778.39983974134077,-6,1
778.41823031959791,-11,1
778.43662058623738,-1,1
778.45501054121883,-16,1
778.47340018450177,-11,1
778.49178951604563,-14,1
778.51017853580959,-7,1
778.52856724375363,4,1
778.546955639837,-28,1
778.565343724019,-7,1
778.58373149625959,-8,1
778.60211895651787,-3,1
778.62050610475353,-18,1
778.63889294092587,-8,1
778.65727946499476,-12,1
778.67566567691915,-8,1
778.69405157665892,-9,1
778.71243716417348,-4,1
778.73082243942247,-5,1
778.74920740236519,-7,1
778.76759205296139,-2,1
778.78597639117015,-5,1
778.80436041695134,2,1
778.82274413026437,-4,1
778.841127531069,-2,1
778.8595106193244,10,1
778.87789339499011,-1,1
778.89627585802589,-4,1
778.91465800839114,-6,1
778.9330398460454,-10,1
778.951421370948,-25,1
778.96980258305882,-2,1
778.988183482337,-2,1
779.00656406874259,1,1
779.02494434223468,1,1
779.04332430277282,-1,1
779.06170395031688,-7,1
779.08008328482629,-9,1
779.09846230626022,-10,1
779.11684101457865,-9,1
779.13521940974078,-9,1
779.15359749170671,-13,1
779.17197526043537,-5,1
779.19035271588666,-5,1
779.20872985802009,-12,1
779.22710668679508,-12,1
779.24548320217139,-20,1
779.2638594041083,-13,1
779.2822352925657,-4,1
779.30061086750288,-6,1
779.3189861288796,6,1
779.33736107665538,-23,1
779.35573571078987,-8,1
779.37411003124225,-7,1
779.39248403797239,1,1
779.41085773094,7,1
779.42923111010441,0,1
779.44760417542523,1,1
779.46597692686237,-8,1
779.48434936437479,-18,1
779.5027214879226,-10,1
779.5210932974652,-3,1
779.53946479296212,-1,1
779.55783597437312,-8,1
779.57620684165749,-14,1
779.59457739477534,7,1
779.61294763368574,-8,1
779.63131755834843,-4,1
779.64968716872306,-7,1
779.66805646476939,-12,1
779.68642544644683,7,1
779.70479411371491,5,1
779.72316246653338,1,1
