772.70242804164,-8,1
772.720912959885,-15,1
772.73939757912012,-13,1
772.75788189930438,-10,1
772.77636592039664,-16,1
772.7948496423561,-18,1
772.81333306514159,-12,1
772.831816188712,-5,1
772.85029901302619,-6,1
772.86878153804332,-17,1
772.88726376372188,-12,1
772.90574569002126,-26,1
772.92422731690033,-8,1
772.94270864431792,-15,1
772.9611896722331,-2,1
772.97967040060462,-15,1
772.99815082939153,0,1
773.01663095855292,-15,1
773.03511078804752,-17,1
773.05359031783451,-3,1
773.0720695478725,-18,1
773.09054847812092,-6,1
773.10902710853816,-20,1
773.12750543908385,-14,1
773.1459834697165,1,1
773.16446120039518,-8,1
773.18293863107885,-11,1
773.20141576172637,-12,1
773.2198925922969,-16,1
773.23836912274942,-7,1
773.25684535304276,-11,1
773.27532128313578,-19,1
773.29379691298789,-10,1
773.31227224255781,-12,1
773.33074727180428,-5,1
773.34922200068684,-8,1
773.367696429164,-16,1
773.38617055719487,-8,1
773.40464438473873,-8,1
773.423117911754,-14,1
773.4415911382,-2,1
773.46006406403581,-14,1
773.47853668922039,-10,1
773.49700901371261,-8,1
773.51548103747155,-6,1
773.53395276045626,-13,1
773.55242418262549,-16,1
773.57089530393853,-9,1
773.58936612435411,4,1
773.60783664383155,-13,1
773.62630686232967,-4,1
773.64477677980778,4,1
773.66324639622417,-23,1
773.68171571153869,-13,1
773.70018472570985,-5,1
773.71865343869683,0,1
773.73712185045849,-13,1
773.755589960954,-10,1
773.77405777014246,-21,1
773.7925252779828,-22,1
773.81099248443411,-15,1
773.82945938945522,-8,1
773.84792599300522,-9,1
773.86639229504328,-9,1
773.88485829552849,-13,1
773.90332399441957,-12,1
773.92178939167582,-6,1
773.94025448725608,-19,1
773.95871928111967,-6,1
773.97718377322531,-2,1
773.99564796353241,-13,1
774.01411185199959,-14,1
774.03257543858626,-20,1
774.05103872325139,-2,1
774.06950170595383,-11,1
774.08796438665274,-3,1
774.10642676530733,-5,1
774.12488884187655,-10,1
774.14335061631925,-10,1
